"time (UTC)","airtemp_avg (degC)","qc_airtemp_avg","baro_pressure (hPa)","qc_baro_pressure","rh (%)","qc_rh","rain (in)","qc_rain","winddir (deg from)","qc_winddir","windspeed_avg (m/s)","qc_windspeed_avg","windspeed_max (m/s)","qc_windspeed_max","land par_avg (μmol of photons m-2 s-1)","qc_par_avg","underwater lower_par (μmol of photons m-2 s-1)","qc_lower_par","underwater upper_par (μmol of photons m-2 s-1)","qc_upper_par","co2_avg (ppm)","qc_co2_avg","h2o_avg (mmol/mol)","qc_h2o_avg"
"2025-07-02 06:45:00.000","12.470000267028809","0","1012.8629760742188","0","83.30000305175781","0","0.0","0","9.989999771118164","0","1.1230000257492065","0","2.1659998893737793","0","0.0","0","19.700000762939453","0","0.0","0","415.0","0","11.1899995803833","0"
"2025-07-02 06:50:00.000","12.470000267028809","0","1012.947021484375","0","83.30000305175781","0","0.0","0","101.69999694824219","0","0.6859999895095825","0","1.8990000486373901","0","0.0","0","40.459999084472656","0","0.0","0","415.5","0","11.1899995803833","0"
"2025-07-02 06:55:00.000","12.470000267028809","0","1013.0079956054688","0","83.19999694824219","0","0.0","0","93.19999694824219","0","1.1050000190734863","0","2.5320000648498535","0","0.0","0","10.199999809265137","0","0.0","0","414.3999938964844","0","11.180000305175781","0"
"2025-07-02 07:00:00.000","12.460000038146973","0","1013.0","0","83.19999694824219","0","0.0","0","34.33000183105469","0","0.8759999871253967","0","2.8320000171661377","0","0.0","0","25.559999465942383","0","0.0","0","415.0","0","11.170000076293945","0"
"2025-07-02 07:05:00.000","12.390000343322754","0","1013.0","0","83.30000305175781","0","0.0","0","357.8999938964844","0","1.1660000085830688","0","2.431999921798706","0","0.0","0","9.170000076293945","0","0.0","0","415.20001220703125","0","11.149999618530273","0"
"2025-07-02 07:10:00.000","12.329999923706055","0","1012.9630126953125","0","83.5999984741211","0","0.0","0","347.20001220703125","0","1.6749999523162842","0","2.6659998893737793","0","0.0","0","36.279998779296875","0","0.0","0","416.0","0","11.15999984741211","0"
"2025-07-02 07:15:00.000","12.279999732971191","0","1012.9249877929688","0","83.69999694824219","0","0.0","0","354.3999938964844","0","1.524999976158142","0","3.7320001125335693","0","0.0","0","4.560999870300293","0","0.0","0","416.20001220703125","0","11.170000076293945","0"
"2025-07-02 07:20:00.000","12.229999542236328","0","1012.9970092773438","0","83.9000015258789","0","0.0","0","11.710000038146973","0","0.7580000162124634","0","2.3989999294281006","0","0.0","0","30.18000030517578","0","0.0","0","416.6000061035156","0","11.130000114440918","0"
"2025-07-02 07:25:00.000","12.1899995803833","0","1013.0","0","84.0","0","0.0","0","331.70001220703125","0","1.1100000143051147","0","2.7320001125335693","0","0.0","0","20.75","0","0.0","0","416.6000061035156","0","11.119999885559082","0"
"2025-07-02 07:30:00.000","12.15999984741211","0","1013.0","0","84.19999694824219","0","0.0","0","1.003000020980835","0","1.2510000467300415","0","3.7980000972747803","0","0.0","0","19.09000015258789","0","0.0","0","416.3999938964844","0","11.140000343322754","0"
