"time (UTC)","temperature","qc_temperature","ph","qc_ph"
"2025-05-24 14:16:22.000","10.309478759765625","0","7.927304267883301","0"
"2025-05-24 14:31:22.000","10.34857177734375","0","7.918111324310303","0"
"2025-05-24 14:46:22.000","10.39886474609375","0","7.932901859283447","0"
"2025-05-24 15:01:22.000","10.44354248046875","0","7.904584884643555","0"
"2025-05-24 15:16:22.000","10.516204833984375","0","7.940701961517334","0"
"2025-05-24 15:31:22.000","10.57769775390625","0","7.984254837036133","0"
"2025-05-24 15:46:22.000","-9999.0","1","7.641160011291504","0"
"2025-05-24 17:01:22.000","10.465911865234375","0","7.89628267288208","0"
"2025-05-24 17:16:22.000","10.342987060546875","0","7.809640407562256","0"
"2025-05-24 17:31:22.000","10.097381591796875","0","7.880539894104004","0"
"2025-05-24 17:46:22.000","10.130859375","0","7.843105792999268","0"
"2025-05-24 18:01:22.000","10.0750732421875","0","7.87186861038208","0"
"2025-05-24 18:16:22.000","10.097381591796875","0","7.752009868621826","0"
"2025-05-24 18:31:22.000","44.415924072265625","12","8.09567642211914","0"
"2025-05-24 20:01:22.000","10.18109130859375","8","7.834702014923096","0"
"2025-05-24 20:16:22.000","10.186676025390625","0","7.854492664337158","0"
"2025-05-24 20:31:22.000","10.270416259765625","0","7.777125835418701","0"
"2025-05-24 20:46:22.000","10.354156494140625","0","-9999.0","1"
"2025-05-24 21:01:22.000","10.42120361328125","0","8.018793106079102","0"
"2025-05-24 21:16:22.000","10.437957763671875","0","7.914146423339844","0"
"2025-05-24 21:31:22.000","38.676666259765625","12","-9999.0","1"
"2025-05-24 23:01:22.000","12.183349609375","8","8.096611022949219","0"
"2025-05-24 23:16:22.000","12.27362060546875","0","7.9553117752075195","0"
"2025-05-24 23:31:22.000","12.426055908203125","0","8.200411796569824","0"
"2025-05-24 23:46:22.000","12.49951171875","0","8.114302635192871","0"
"2025-05-25 00:01:20.000","12.493865966796875","0","8.066244125366211","0"
"2025-05-25 00:16:20.000","12.38653564453125","0","8.047449111938477","0"
"2025-05-25 00:31:20.000","12.47125244140625","0","7.982639312744141","0"
"2025-05-25 00:46:20.000","12.612579345703125","0","8.151598930358887","0"
"2025-05-25 01:01:20.000","12.200286865234375","0","8.042184829711914","0"
"2025-05-25 01:16:20.000","11.96356201171875","0","8.101232528686523","0"
"2025-05-25 01:31:20.000","12.465606689453125","0","8.124564170837402","0"
"2025-05-25 01:46:20.000","12.27362060546875","0","8.072799682617188","0"
"2025-05-25 02:01:20.000","12.11004638671875","0","8.128189086914062","0"
"2025-05-25 02:16:20.000","12.014251708984375","0","8.106059074401855","0"
"2025-05-25 02:31:20.000","12.00299072265625","0","8.116690635681152","0"
"2025-05-25 02:46:20.000","11.8565673828125","0","8.114553451538086","0"
"2025-05-25 03:01:20.000","12.04241943359375","0","8.054933547973633","0"
"2025-05-25 03:16:20.000","13.08270263671875","0","7.94842529296875","0"
"2025-05-25 03:31:20.000","12.66912841796875","0","8.072182655334473","0"
"2025-05-25 03:46:20.000","-9999.0","1","-9999.0","1"
"2025-05-25 04:46:20.000","10.6224365234375","0","8.006972312927246","0"
"2025-05-25 05:01:20.000","10.3653564453125","0","7.915395259857178","0"
"2025-05-25 05:16:20.000","10.259246826171875","0","7.883796215057373","0"
"2025-05-25 05:31:20.000","10.052764892578125","0","7.88694953918457","0"
"2025-05-25 05:46:20.000","9.757293701171875","0","7.846863269805908","0"
"2025-05-25 06:01:20.000","9.735015869140625","0","7.847654819488525","0"
"2025-05-25 06:16:20.000","-7.43109130859375","10","-9999.0","1"
