"time (UTC)","pCO2 in water (ppm)","qc_pco2_water","pCO2 in air (ppm)","qc_pco2_air","O2 in water (%)","qc_o2_water","o2_air","O2 in air (%)"
"2025-05-14 09:00:00.000","466.7221","0","441.09003","0","21.141722","0","21.202253","0"
"2025-05-14 12:00:00.000","452.02646","0","440.99948","0","20.972235","0","21.19708","0"
"2025-05-14 15:00:00.000","414.36102","0","431.61874","0","21.007069","0","21.18829","0"
"2025-05-14 18:00:00.000","372.31708","0","428.29077","0","21.399315","0","21.25396","0"
"2025-05-14 21:00:00.000","512.5552","0","425.4197","0","21.13189","0","21.392584","0"
"2025-05-15 00:00:00.000","534.73987","0","426.99524","0","20.778614","0","21.355175","0"
"2025-05-15 03:00:00.000","582.4041","0","431.21393","0","20.470013","0","21.325867","0"
"2025-05-15 06:00:00.000","427.00476","0","435.40915","0","20.595512","0","21.21138","0"
"2025-05-15 09:00:00.000","541.1837","0","437.56262","0","20.307919","0","21.166218","0"
"2025-05-15 12:00:00.000","413.02872","0","441.56473","0","20.585167","0","21.150866","0"
"2025-05-15 15:00:00.000","318.05966","0","440.78372","0","21.417765","0","21.353268","0"
"2025-05-15 18:00:00.000","337.90005","0","434.5944","0","21.596724","0","21.239656","0"
"2025-05-15 21:00:00.000","436.68207","0","432.12692","0","21.4257","0","21.244486","0"
"2025-05-16 00:00:00.000","531.864","0","431.80014","0","21.136385","0","21.453785","0"
"2025-05-16 03:00:00.000","477.75708","0","430.40323","0","20.978796","0","21.40914","0"
"2025-05-16 06:00:00.000","186.8205","0","442.589","0","22.398277","0","21.35896","0"
"2025-05-16 09:00:00.000","310.92035","0","469.01672","0","22.411198","0","21.307753","0"
"2025-05-16 12:00:00.000","311.10913","0","458.37466","0","22.473795","0","21.29638","0"
"2025-05-16 15:00:00.000","301.70795","0","446.1022","0","22.56775","0","21.312927","0"
"2025-05-16 18:00:00.000","307.9831","0","433.63312","0","22.787416","0","21.396889","0"
"2025-05-16 21:00:00.000","308.9745","0","425.7528","0","23.241375","0","21.626879","0"
"2025-05-17 00:00:00.000","569.7532","0","427.68155","0","21.817755","0","21.334143","0"
"2025-05-17 03:00:00.000","616.1317","0","440.01108","0","20.877918","0","21.27206","0"
"2025-05-17 06:00:00.000","167.05069","0","440.07327","0","22.48379","0","21.151205","0"
"2025-05-17 09:00:00.000","200.36209","0","444.58377","0","23.14207","0","21.123096","0"
"2025-05-17 12:00:00.000","213.48344","0","452.87302","0","23.33999","0","21.107754","0"
"2025-05-17 15:00:00.000","387.4229","0","429.48535","0","22.594648","0","21.107752","0"
"2025-05-17 18:00:00.000","453.95316","0","428.42188","0","22.000164","0","21.156723","0"
"2025-05-17 21:00:00.000","481.3964","0","427.6967","0","21.510168","0","21.226217","0"
"2025-05-18 00:00:00.000","601.7281","0","428.73297","0","20.950867","0","21.436384","0"
"2025-05-18 03:00:00.000","581.8773","0","431.9621","0","20.52621","0","21.432072","0"
"2025-05-18 06:00:00.000","596.8202","0","437.77362","0","20.031384","0","21.329304","0"
"2025-05-18 09:00:00.000","456.46457","0","449.66672","0","20.133446","0","21.162756","0"
"2025-05-18 12:00:00.000","450.9998","0","452.8733","0","20.24328","0","21.186893","0"
"2025-05-18 15:00:00.000","453.6402","0","433.87476","0","20.458105","0","21.287594","0"
"2025-05-18 18:00:00.000","425.32318","0","428.86774","0","21.151892","0","21.74915","0"
"2025-05-18 21:00:00.000","449.85583","0","426.39597","0","21.207254","0","21.691729","0"
"2025-05-19 00:00:00.000","508.35416","0","427.20694","0","20.777582","0","21.367924","0"
"2025-05-19 03:00:00.000","553.6908","0","435.49002","0","20.542074","0","21.33707","0"
"2025-05-19 06:00:00.000","603.1992","0","445.54355","0","20.04673","0","21.110859","0"
"2025-05-19 09:00:00.000","352.87054","0","445.9345","0","20.548445","0","21.004835","0"
"2025-05-19 12:00:00.000","457.18024","0","451.12067","0","20.420353","0","20.983793","0"
"2025-05-19 15:00:00.000","366.99133","0","435.99774","0","20.787941","0","20.945335","0"
"2025-05-19 18:00:00.000","279.62415","0","431.8334","0","21.843615","0","21.220705","0"
"2025-05-19 21:00:00.000","287.78946","0","430.77835","0","22.44552","0","21.276888","0"
"2025-05-20 00:00:00.000","403.43857","0","426.7655","0","22.3169","0","21.375689","0"
"2025-05-20 03:00:00.000","601.1806","0","430.76758","0","21.396557","0","21.377245","0"
"2025-05-20 06:00:00.000","579.0465","0","448.7102","0","20.908447","0","21.319477","0"
"2025-05-20 09:00:00.000","387.11453","0","440.74442","0","21.162767","0","21.296211","0"
"2025-05-20 12:00:00.000","545.28284","0","455.56882","0","20.734137","0","21.281733","0"
"2025-05-20 15:00:00.000","356.18533","0","450.66843","0","21.256897","0","21.306206","0"
"2025-05-20 18:00:00.000","313.70728","0","442.5819","0","22.301556","0","21.540686","0"
"2025-05-20 21:00:00.000","310.1497","0","431.20227","0","22.86137","0","21.527237","0"
"2025-05-21 00:00:00.000","285.31412","0","432.51913","0","23.045004","0","21.39242","0"
"2025-05-21 03:00:00.000","631.2173","0","430.0917","0","21.783108","0","21.382072","0"
"2025-05-21 06:00:00.000","569.5338","0","441.0826","0","21.106544","0","21.279661","0"
"2025-05-21 09:00:00.000","598.26276","0","447.68332","0","20.625349","0","21.243448","0"
"2025-05-21 12:00:00.000","650.18475","0","449.15207","0","20.122238","0","21.247932","0"
"2025-05-21 15:00:00.000","516.8436","0","429.72955","0","20.135511","0","21.272413","0"
"2025-05-21 18:00:00.000","328.5945","0","431.39362","0","21.513098","0","21.635687","0"
"2025-05-21 21:00:00.000","368.44507","0","430.42487","0","22.546726","0","21.497927","0"
"2025-05-22 00:00:00.000","233.96999","0","423.72983","0","23.984156","0","21.28792","0"
"2025-05-22 03:00:00.000","543.2681","0","430.94397","0","22.824146","0","21.461554","0"
"2025-05-22 06:00:00.000","552.06836","0","442.95953","0","21.833096","0","21.25862","0"
"2025-05-22 09:00:00.000","583.24713","0","456.74054","0","21.023615","0","21.113274","0"
"2025-05-22 12:00:00.000","623.1843","0","465.2039","0","20.335857","0","21.053444","0"
"2025-05-22 15:00:00.000","547.5518","0","446.8401","0","20.595345","0","21.493265","0"
"2025-05-22 18:00:00.000","573.6948","0","438.8869","0","20.558798","0","21.554476","0"
"2025-05-22 21:00:00.000","298.10794","0","429.34943","0","21.884474","0","21.514647","0"
"2025-05-23 00:00:00.000","290.95642","0","420.10016","0","22.70811","0","21.184994","0"
"2025-05-23 03:00:00.000","520.76544","0","426.65518","0","22.155176","0","21.392414","0"
"2025-05-23 06:00:00.000","563.88525","0","432.43234","0","21.22396","0","21.238958","0"
"2025-05-23 09:00:00.000","583.04456","0","433.44717","0","20.713446","0","21.19863","0"
"2025-05-23 12:00:00.000","546.9176","0","435.44388","0","20.388447","0","21.211033","0"
"2025-05-23 15:00:00.000","576.23004","0","434.67453","0","20.149826","0","21.215687","0"
"2025-05-23 18:00:00.000","603.8936","0","430.53375","0","19.950174","0","21.261028","0"
"2025-05-23 21:00:00.000","311.8014","0","428.22195","0","21.081373","0","21.314835","0"
"2025-05-24 00:00:00.000","258.2019","0","426.5498","0","22.518099","0","21.445866","0"
"2025-05-24 03:00:00.000","309.01126","0","429.1847","0","22.923103","0","21.469137","0"
"2025-05-24 06:00:00.000","637.1138","0","440.0985","0","21.606544","0","21.352068","0"
"2025-05-24 09:00:00.000","579.38135","0","456.5658","0","20.87121","0","21.176722","0"
"2025-05-24 12:00:00.000","610.0835","0","458.16855","0","20.274824","0","21.07379","0"
"2025-05-24 15:00:00.000","490.34656","0","439.02145","0","20.635174","0","21.33983","0"
"2025-05-24 18:00:00.000","591.5392","0","438.33682","0","20.55104","0","21.54689","0"
"2025-05-24 21:00:00.000","583.39795","0","437.7669","0","20.275349","0","21.406216","0"
"2025-05-25 00:00:00.000","343.637","0","426.834","0","21.575346","0","21.377935","0"
"2025-05-25 03:00:00.000","413.54306","0","431.87503","0","22.12828","0","21.506197","0"
"2025-05-25 06:00:00.000","688.29425","0","443.43158","0","20.822598","0","21.366032","0"
"2025-05-25 09:00:00.000","415.73807","0","462.44293","0","21.01621","0","21.233618","0"
"2025-05-25 12:00:00.000","442.5474","0","458.32587","0","20.956896","0","21.16156","0"
"2025-05-25 15:00:00.000","377.55835","0","449.0873","0","21.484127","0","21.455175","0"
"2025-05-25 18:00:00.000","469.51105","0","432.72464","0","21.347767","0","21.466206","0"
"2025-05-25 21:00:00.000","600.81274","0","431.58585","0","20.804655","0","21.457418","0"
"2025-05-26 00:00:00.000","220.5102","0","431.70773","0","22.452593","0","21.377752","0"
"2025-05-26 03:00:00.000","241.80429","0","427.90555","0","23.311546","0","21.413454","0"
"2025-05-26 06:00:00.000","648.26263","0","464.62448","0","21.740517","0","21.34259","0"
"2025-05-26 09:00:00.000","665.2213","0","470.34476","0","20.638622","0","21.263615","0"
"2025-05-26 12:00:00.000","516.2389","0","483.3415","0","20.459661","0","21.229652","0"
"2025-05-26 15:00:00.000","478.24826","0","441.15018","0","20.567072","0","21.326387","0"
"2025-05-26 18:00:00.000","417.4571","0","426.4499","0","20.922585","0","21.416557","0"
"2025-05-26 21:00:00.000","643.1391","0","424.24228","0","20.273106","0","21.478449","0"
"2025-05-27 00:00:00.000","688.47797","0","424.9986","0","19.767761","0","21.38896","0"
"2025-05-27 03:00:00.000","416.61633","0","428.31195","0","20.37137","0","21.373268","0"
"2025-05-27 06:00:00.000","567.3785","0","449.689","0","20.063286","0","21.283453","0"
"2025-05-27 09:00:00.000","689.098","0","448.8223","0","19.406384","0","21.17622","0"
"2025-05-27 12:00:00.000","475.28522","0","453.61493","0","19.681044","0","21.1507","0"
"2025-05-27 15:00:00.000","468.81375","0","440.10828","0","20.101048","0","21.347935","0"
"2025-05-27 18:00:00.000","650.74414","0","438.29413","0","20.706379","0","21.606564","0"
"2025-05-27 21:00:00.000","548.61176","0","434.92468","0","20.282413","0","21.469667","0"
"2025-05-28 00:00:00.000","575.64984","0","430.51398","0","19.916899","0","21.278265","0"
"2025-05-28 03:00:00.000","442.4672","0","431.09625","0","20.333101","0","21.306202","0"
"2025-05-28 06:00:00.000","438.14337","0","465.7325","0","20.503796","0","21.244482","0"
"2025-05-28 09:00:00.000","630.8939","0","518.59717","0","19.842237","0","21.104996","0"
"2025-05-28 12:00:00.000","408.0545","0","500.45755","0","20.162586","0","20.980347","0"
"2025-05-28 15:00:00.000","389.76428","0","467.62567","0","20.921537","0","21.339653","0"
"2025-05-28 18:00:00.000","397.20544","0","438.88974","0","21.360174","0","21.48552","0"
"2025-05-28 21:00:00.000","489.14258","0","446.68304","0","21.143776","0","21.445696","0"
"2025-05-29 00:00:00.000","594.5058","0","426.28418","0","20.50553","0","21.415684","0"
"2025-05-29 03:00:00.000","603.4966","0","427.39734","0","20.236036","0","21.479485","0"
"2025-05-29 06:00:00.000","574.0161","0","460.49084","0","19.950188","0","21.33759","0"
"2025-05-29 09:00:00.000","627.1577","0","443.02188","0","19.626892","0","21.32466","0"
"2025-05-29 12:00:00.000","350.82193","0","446.20462","0","20.509659","0","21.285172","0"
"2025-05-29 15:00:00.000","457.48862","0","446.65247","0","20.58655","0","21.295343","0"
"2025-05-29 18:00:00.000","465.77325","0","426.16086","0","20.63293","0","21.366545","0"
"2025-05-29 21:00:00.000","485.8796","0","424.4674","0","20.654488","0","21.462418","0"
"2025-06-01 00:00:00.000","651.18164","0","423.1729","0","19.453625","0","21.319483","0"
"2025-06-01 03:00:00.000","625.7711","0","427.77478","0","19.550686","0","21.574144","0"
"2025-06-01 06:00:00.000","511.58203","0","434.25748","0","19.698107","0","21.475855","0"
"2025-06-01 09:00:00.000","510.68536","0","451.99634","0","19.760176","0","21.426718","0"
"2025-06-01 12:00:00.000","548.5195","0","460.72443","0","19.605175","0","21.237423","0"
"2025-06-01 15:00:00.000","494.37433","0","431.10657","0","20.150175","0","21.636374","0"
"2025-06-01 18:00:00.000","369.58115","0","434.68646","0","20.99052","0","21.701555","0"
"2025-06-01 21:00:00.000","291.1791","0","430.75104","0","21.99241","0","21.69276","0"
"2025-06-02 00:00:00.000","479.7091","0","428.7787","0","21.423454","0","21.452246","0"
"2025-06-02 03:00:00.000","585.8081","0","430.72052","0","20.907572","0","21.544477","0"
"2025-06-02 06:00:00.000","577.43304","0","448.50262","0","20.607754","0","21.509996","0"
"2025-06-02 09:00:00.000","446.76053","0","483.88474","0","20.561375","0","21.31551","0"
"2025-06-02 12:00:00.000","297.24484","0","458.25632","0","21.3269","0","21.252075","0"
"2025-06-02 15:00:00.000","345.08673","0","448.69666","0","21.792078","0","21.581905","0"
"2025-06-02 18:00:00.000","246.46155","0","431.74704","0","23.255022","0","21.79948","0"
"2025-06-02 21:00:00.000","210.23672","0","428.1256","0","24.308966","0","21.687752","0"
"2025-06-03 00:00:00.000","260.5645","0","426.23798","0","23.818277","0","21.299473","0"
"2025-06-03 03:00:00.000","548.5461","0","431.54382","0","22.545353","0","21.503267","0"
"2025-06-03 06:00:00.000","442.7387","0","454.66565","0","21.68897","0","21.385864","0"
"2025-06-03 09:00:00.000","346.26178","0","504.4352","0","21.706896","0","21.210169","0"
"2025-06-03 12:00:00.000","458.84982","0","483.89465","0","21.190512","0","21.102413","0"
"2025-06-03 15:00:00.000","310.52533","0","427.50525","0","22.097424","0","21.486034","0"
"2025-06-03 18:00:00.000","169.15016","0","430.1253","0","23.708275","0","21.619308","0"
"2025-06-03 21:00:00.000","195.50296","0","427.626","0","25.075686","0","21.563099","0"
"2025-06-04 00:00:00.000","188.59895","0","426.5882","0","25.12414","0","21.078102","0"
"2025-06-04 03:00:00.000","583.65436","0","428.75385","0","23.278101","0","21.361727","0"
"2025-06-04 06:00:00.000","547.01984","0","435.77643","0","21.981203","0","21.185528","0"
"2025-06-04 09:00:00.000","558.1075","0","435.69968","0","21.101542","0","21.136543","0"
"2025-06-04 12:00:00.000","546.0822","0","438.29004","0","20.637417","0","21.153101","0"
"2025-06-04 15:00:00.000","414.47632","0","435.84924","0","21.016209","0","21.161379","0"
"2025-06-04 18:00:00.000","564.1064","0","434.09766","0","20.573793","0","21.212946","0"
"2025-06-04 21:00:00.000","193.2405","0","431.87308","0","22.587769","0","21.321554","0"
"2025-06-05 00:00:00.000","190.51344","0","424.74792","0","24.01844","0","21.190859","0"
"2025-06-05 03:00:00.000","572.7393","0","423.76413","0","22.619125","0","21.35328","0"
"2025-06-05 06:00:00.000","544.1623","0","448.64203","0","21.764484","0","21.289824","0"
"2025-06-05 09:00:00.000","570.182","0","447.5462","0","20.950682","0","21.177942","0"
"2025-06-05 12:00:00.000","505.74084","0","460.02054","0","20.636034","0","21.153797","0"
"2025-06-05 15:00:00.000","275.88327","0","446.06616","0","22.214483","0","21.455347","0"
"2025-06-05 18:00:00.000","525.546","0","429.03845","0","21.679464","0","21.516893","0"
"2025-06-05 21:00:00.000","285.72726","0","427.6972","0","22.392921","0","21.431215","0"
"2025-06-06 00:00:00.000","246.28123","0","423.69446","0","23.38499","0","21.051731","0"
"2025-06-06 03:00:00.000","475.05673","0","431.33334","0","22.899128","0","21.367249","0"
"2025-06-06 06:00:00.000","526.93634","0","438.79327","0","22.104486","0","21.287764","0"
"2025-06-06 09:00:00.000","486.1876","0","448.97675","0","21.580872","0","21.173967","0"
"2025-06-06 12:00:00.000","447.81244","0","452.77542","0","21.287941","0","21.084126","0"
"2025-06-06 15:00:00.000","332.68347","0","441.17514","0","21.993118","0","21.33466","0"
"2025-06-06 18:00:00.000","466.9034","0","427.43326","0","21.755169","0","21.368275","0"
"2025-06-06 21:00:00.000","442.08035","0","424.1391","0","21.811726","0","21.426725","0"
