time_pst,qc_pco2_water,qc_pco2_air,p_co2_in_water_ppm,p_co2_in_air_ppm
2024-01-19T21:00:00Z,0,0,724.3309,436.86932
2024-01-20T00:00:00Z,0,0,707.3172,438.46
2024-01-20T03:00:00Z,0,0,761.173,456.76984
2024-01-20T06:00:00Z,0,0,769.94525,448.63156
2024-01-20T09:00:00Z,0,0,774.2911,477.0748
2024-01-20T12:00:00Z,0,0,740.2603,446.03864
2024-01-20T15:00:00Z,0,0,757.63464,451.11926
2024-01-20T18:00:00Z,0,0,773.858,447.52206
2024-01-20T21:00:00Z,0,0,724.23773,439.2719
2024-01-21T00:00:00Z,0,0,722.4999,444.01138
2024-01-21T03:00:00Z,0,0,738.25903,445.33844
2024-01-21T06:00:00Z,0,0,781.3302,451.7216
2024-01-21T09:00:00Z,0,0,805.6519,462.52896
2024-01-21T12:00:00Z,0,0,772.03217,458.07034
2024-01-21T15:00:00Z,0,0,782.6723,463.77396
2024-01-21T18:00:00Z,0,0,780.99115,460.38153
2024-01-21T21:00:00Z,0,0,746.9759,438.6667
2024-01-22T00:00:00Z,0,0,714.1918,438.3578
2024-01-22T03:00:00Z,0,0,760.2023,446.55762
2024-01-22T06:00:00Z,0,0,792.2091,431.63312
2024-01-22T09:00:00Z,0,0,819.8567,433.52673
2024-01-22T12:00:00Z,0,0,797.17004,430.6824
2024-01-22T15:00:00Z,0,0,753.33,439.54398
2024-01-22T18:00:00Z,0,0,781.997,439.99655
2024-01-22T21:00:00Z,0,0,739.5255,434.74448
2024-01-23T00:00:00Z,0,0,725.7285,441.5495
2024-01-23T03:00:00Z,0,0,726.1611,451.07928
2024-01-23T06:00:00Z,0,0,807.9701,457.3781
2024-01-23T09:00:00Z,0,0,813.75037,490.23138
2024-01-23T12:00:00Z,0,0,810.1654,460.4448
2024-01-23T15:00:00Z,0,0,707.83203,479.46844
2024-01-23T18:00:00Z,0,0,724.31445,443.57068
2024-01-23T21:00:00Z,0,0,719.2426,451.1145
2024-01-24T00:00:00Z,0,0,701.0653,441.89154
2024-01-24T03:00:00Z,0,0,734.9464,436.29776
2024-01-24T06:00:00Z,0,0,795.21594,449.0388
2024-01-24T09:00:00Z,0,0,814.88385,453.37225
2024-01-24T12:00:00Z,0,0,813.1344,442.57468
2024-01-24T15:00:00Z,0,0,734.34686,425.68967
2024-01-24T18:00:00Z,0,0,728.0994,425.81256
2024-01-24T21:00:00Z,0,0,748.47845,425.2531
2024-01-25T00:00:00Z,0,0,720.8104,425.20483
2024-01-25T03:00:00Z,0,0,751.681,446.31464
2024-01-25T06:00:00Z,0,0,759.89124,474.14844
2024-01-25T09:00:00Z,0,0,797.1202,463.98795
2024-01-25T12:00:00Z,0,0,794.9317,433.96054
2024-01-25T15:00:00Z,0,0,743.49603,477.82532
2024-01-25T18:00:00Z,0,0,749.9545,433.84036
2024-01-25T21:00:00Z,0,0,758.015,437.75137
2024-01-26T00:00:00Z,0,0,716.7433,434.39102
2024-01-26T03:00:00Z,0,0,736.9057,444.26724
2024-01-26T06:00:00Z,0,0,768.22516,441.6545
2024-01-26T09:00:00Z,0,0,801.7228,484.40225
2024-01-26T12:00:00Z,0,0,800.11395,446.7693
2024-01-26T15:00:00Z,0,0,746.539,459.96573
2024-01-26T18:00:00Z,0,0,741.9471,444.60193
2024-01-26T21:00:00Z,0,0,777.74713,430.45242
2024-01-27T00:00:00Z,0,0,748.23676,434.18744
2024-01-27T03:00:00Z,0,0,750.24927,442.3388
2024-01-27T06:00:00Z,0,0,786.20654,443.57758
2024-01-27T09:00:00Z,0,0,805.63995,471.62845
2024-01-27T12:00:00Z,0,0,809.4923,455.7231
2024-01-27T15:00:00Z,0,0,798.6141,465.70966
2024-01-27T18:00:00Z,0,0,769.52966,456.20123
2024-01-27T21:00:00Z,0,0,795.0495,447.046
2024-01-28T00:00:00Z,0,0,717.7108,442.16193
2024-01-28T03:00:00Z,0,0,741.0951,443.05487
2024-01-28T06:00:00Z,0,0,772.2997,461.8697
2024-01-28T09:00:00Z,0,0,808.1067,464.92084
2024-01-28T12:00:00Z,0,0,806.2897,455.17017
2024-01-28T15:00:00Z,0,0,698.89996,480.58743
2024-01-28T18:00:00Z,0,0,754.5356,446.969
2024-01-28T21:00:00Z,0,0,752.7748,444.36295
2024-01-29T00:00:00Z,0,0,762.32874,439.8238
2024-01-29T03:00:00Z,0,0,729.37445,425.7483
2024-01-29T06:00:00Z,0,0,781.1563,426.1302
2024-01-29T09:00:00Z,0,0,754.9897,427.28168
2024-01-29T12:00:00Z,0,0,760.68634,448.9369
2024-01-29T15:00:00Z,0,0,726.18243,475.121
2024-01-29T18:00:00Z,0,0,746.3067,461.99673
2024-01-29T21:00:00Z,0,0,752.3684,428.7469
2024-01-30T00:00:00Z,0,0,625.4071,436.49896
2024-01-30T03:00:00Z,0,0,643.3726,442.85687
2024-01-30T06:00:00Z,0,0,764.5857,422.55774
2024-01-30T09:00:00Z,0,0,694.56573,436.64032
2024-01-30T12:00:00Z,0,0,593.9635,461.26828
2024-01-30T15:00:00Z,0,0,464.0319,450.16156
2024-01-30T18:00:00Z,0,0,578.1485,443.9681
2024-01-30T21:00:00Z,0,0,693.5825,438.80188
2024-01-31T00:00:00Z,0,0,477.06708,428.8121
